Document_Name;Code;Segment
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;new draft laws directed ​against the clergy and millions of parishioners of the Ukrainian Orthodox Church ​of the Moscow Patriarchate have been registered in the Verkhovna Rada.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;which is why they have opted for aggressive action
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;, for activating ​extremist cells, including radical Islamist organisations, for sending subversives ​to stage terrorist attacks at critical infrastructure facilities, and for kidnapping ​Russian citizens
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;a new Military Strategy was adopted in Ukraine. This document is ​almost entirely dedicated to confrontation with Russia and sets the goal ​of involving foreign states in a conflict with our country
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;It also sets out the contours of a potential ​war
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;this is nothing other than ​preparation for hostilities against our country, Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Ukraine intends to create its ​own nuclear weapons
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;acquiring tactical nuclear weapons will be much easier ​for Ukraine than for some other states
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;If Ukraine acquires weapons of mass destruction, the situation in the world ​and in Europe will drastically change, especially for us, for Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;We are seeing how persistently the Kiev regime is being pumped with ​arms
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Ukraine joining NATO is a direct threat ​to Russia's security
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;military infrastructure has reached Russia’s borders
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The situation continues to deteriorate, including in the strategic area
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;positioning areas for interceptor missiles are being established in Romania ​and Poland as part of the US project to create a global missile defence system
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the launchers deployed there can be used ​for Tomahawk cruise missiles – offensive strike systems
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the United States is developing its all-purpose Standard Missile-6, ​which can provide air and missile defence, as well as strike ground and surface ​targets
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the level of military threats to Russia will increase ​dramatically
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the risk of a sudden strike at our country will multiply
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;American strategic planning documents confirm the possibility ​of a so-called preemptive strike at enemy missile systems
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;We also know ​the main adversary of the United States and NATO. It is Russia.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;NATO documents ​officially declare our country to be the main threat to Euro-Atlantic security
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Ukraine will serve as an advanced bridgehead for such a strike
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Ukrainian airfields are located not far from our borders
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;NATO’s tactical ​aviation deployed there, including precision weapon carriers, will be capable ​of striking at our territory to the depth of the Volgograd-Kazan-Samara-Astrakhan ​line
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The deployment of reconnaissance radars on Ukrainian territory will allow ​NATO to tightly control Russia’s airspace up to the Urals
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;after the US destroyed the INF Treaty, the Pentagon has been openly ​developing many land-based attack weapons, including ballistic missiles that are ​capable of hitting targets at a distance of up to 5,500 km
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;If deployed in Ukraine, ​such systems will be able to hit targets in Russia’s entire European part
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The flying time of Tomahawk cruise missiles to Moscow will be less than 35 ​minutes
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;ballistic missiles from Kharkov will take seven to eight minutes
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;hypersonic assault weapons, four to five minutes
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;It is like a knife ​to the throat.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;they ​are again trying to blackmail us and are threatening us with sanctions,
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;they will never think twice ​before coming up with or just fabricating a pretext for yet another sanction attack ​regardless of the developments in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Their one and only goal is to hold ​back the development of Russia
